park_name,latitude,longitude,ada_swing,baby_swings,baseball___adult,baseball___little_league,basketball,bike_path,bocce,boathouse,community_garden,dog_park_off_leash,dogs_on_leash,drinking_fountain,fishing,fitness_equipment,football,gazebo_shelter,historic_site,ice_rink,lawn,lighting,multipurpose_goal,performance_space,playground_age_6_and_up,pool,scenic_vista,seating,skateboard_features,soccer,softball,stick_ball,swings,tables,tennis_court,tennis_wall,tot_lot_ages_1_5,walking_path,water_play,water_feature,the_geom,cartodb_id,created_at,updated_at
Albion Playground,42.39206,-71.10788,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000001EF98381E7C651C0EE08A7052F324540,1,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Alewife Brook Reservation,42.41603,-71.13083,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0101000020E61000007CD5CA845FC851C0D313967840354540,2,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Allen Street Community Garden,42.37766,-71.09304,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,0101000020E6100000124E0B5EF4C551C0F180B22957304540,3,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Avon Community Garden,42.386,-71.103,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000003BDF4F8D97C651C0C520B07268314540,4,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Bailey Park,42.38803,-71.10903,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E61000001B12F758FAC651C0F6EE8FF7AA314540,5,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Bikeway Community Garden,42.39599,-71.11881,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0101000020E6100000041C42959AC751C082C5E1CCAF324540,6,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Central Hill Playground,42.38597,-71.0953,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,0101000020E6100000C3D32B6519C651C05A9E077767314540,7,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Chuckie Harris Park,42.38922,-71.08519,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000008FFCC1C073C551C07D7901F6D1314540,8,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Community Path (MBTA),42.39586,-71.11879,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0101000020E6100000E1455F419AC751C0B4E55C8AAB324540,9,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Conway Park,42.38285,-71.10813,false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,0101000020E6100000DB6D179AEBC651C005A3923A01314540,10,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Corbett-McKenna Park,42.38093,-71.0928,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E61000006744696FF0C551C05B087250C2304540,11,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Davis Square Statue Park Plaza,42.39679,-71.12246,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,0101000020E61000005DC47762D6C751C09FB0C403CA324540,12,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
Dickerman Playground,42.38657,-71.11154,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,true,false,true,false,0101000020E6100000890CAB7823C751C0AFCE31207B314540,13,2015-06-16 21:57:38.096268+00,2015-06-16 21:57:38.096268+00
